Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By
77116422,Given I'm on the homepaged and not logged in When I visit the site I see a splash page with banner and quotes,"",1,"Aug 18, 2014","Aug 24, 2014",feature,2,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116422,
77116424,"Given I'm on the homepage When I click on ""JOIN"" Then I see a registration page","",1,"Aug 18, 2014","Aug 24, 2014",feature,1,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116424,
77116426,"Given I'm on the registration page When I fill it out entirely and click ""Register"" Then I'm informed that I registered","",1,"Aug 18, 2014","Aug 24, 2014",feature,2,unstarted,"Jul 27, 2014",,,Hunter Gillane,Do not store the user's password in plain text!,https://www.pivotaltracker.com/story/show/77116426,
77116428,"Given I'm registered When I fill out the Login form and click ""Login"" Then I'm logged in","",1,"Aug 18, 2014","Aug 24, 2014",feature,1,unstarted,"Jul 27, 2014",,,Hunter Gillane,"To start, I only see my first and last name",https://www.pivotaltracker.com/story/show/77116428,
77116430,"Given I'm logged in When I click ""Logout"" Then I'm Logged out","",1,"Aug 18, 2014","Aug 24, 2014",feature,1,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116430,
77116432,Given I've logged in When I click on my name Then I can edit my profile,"",1,"Aug 18, 2014","Aug 24, 2014",feature,2,unstarted,"Jul 27, 2014",,,Hunter Gillane,"Same view as the register page. Pre-filled with my previous answers. Same registration validations apply.

Users cannot edit the profiles for other users.",https://www.pivotaltracker.com/story/show/77116432,
77116434,Given I'm registered When I log in Then I see a place to post my rant,"",1,"Aug 18, 2014","Aug 24, 2014",feature,1,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116434,
77116436,"When I fill out the rant form Then my rant is posted under ""My Rants""","",2,"Aug 25, 2014","Aug 31, 2014",feature,2,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116436,
77116438,Given I've created a rant When I click delete Then it deletes the rant,"",2,"Aug 25, 2014","Aug 31, 2014",feature,1,unstarted,"Jul 27, 2014",,,Hunter Gillane,Users can only delete rants that they created.,https://www.pivotaltracker.com/story/show/77116438,
77116440,"Given another user has posted a rant When I go to my homepage Then I see it under ""Latest Rants""","",2,"Aug 25, 2014","Aug 31, 2014",feature,1,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116440,
77116442,"Given there is another user When I click follow on the user from the homepage Then I can view that user under the ""Following"" page","",2,"Aug 25, 2014","Aug 31, 2014",feature,2,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116442,
